GKZ;Gemeindename;BEZEICHNUNG
60221;Turnau;Thal
60209;Kapfenberg;Thomas-Wölbitsch-Gasse
60219;Thörl;Thörl
60202;Aflenz Land;Thullin
60203;Breitenau am Hochlantsch;Tiefenbachgraben
60209;Kapfenberg;Töllergraben
60209;Kapfenberg;Töllermayrgasse
60213;Pernegg an der Mur;Traföß
60204;Bruck an der Mur;Tragösser Straße
60209;Kapfenberg;Tragösser Straße
60207;Gußwerk;Tribeinsiedlung
60213;Pernegg an der Mur;Tulpengasse
60211;Oberaich;Tulpenweg
60218;Sankt Sebastian;Türkengrabenweg
60221;Turnau;Turnau
60202;Aflenz Land;Tutschach
60204;Bruck an der Mur;Übelstein
60204;Bruck an der Mur;Übelsteiner Straße
60209;Kapfenberg;Uhlandgasse
60204;Bruck an der Mur;Umspannwerkgasse
60210;Mariazell;Ungarnstraße
60211;Oberaich;Unteraich
60209;Kapfenberg;Untere Neusiedlung
60204;Bruck an der Mur;Untere Siedlungsgasse
60204;Bruck an der Mur;Unterer Höhenweg
60211;Oberaich;Unterer Pichelweg
60211;Oberaich;Unteres Kirchenviertel
60220;Tragöß;Unterort
60215;Sankt Katharein an der Laming;Untertal
60211;Oberaich;Urgental
60211;Oberaich;Utschgraben
60211;Oberaich;Utschmoarweg
60211;Oberaich;Utschtal
60216;Sankt Lorenzen im Mürztal;Viktor Kaplan-Weg
60210;Mariazell;Viktor Lang-Gasse
60209;Kapfenberg;Viktor-Adler-Straße
60204;Bruck an der Mur;Viktor-Kaplan-Gasse
60209;Kapfenberg;Viktor-Kaplan-Straße
60212;Parschlug;Viktringer Gassl
60217;Sankt Marein im Mürztal;Villenweg
60204;Bruck an der Mur;Vinzenz-Till-Gasse
60207;Gußwerk;Waldau
60209;Kapfenberg;Waldemargasse
60209;Kapfenberg;Waldgasse
60218;Sankt Sebastian;Waldpromenade
60204;Bruck an der Mur;Waldrandsiedlung
60218;Sankt Sebastian;Waldrandsiedlung
60207;Gußwerk;Waldsiedel
60204;Bruck an der Mur;Waldweg
60212;Parschlug;Waldweg
60213;Pernegg an der Mur;Waldweg
60216;Sankt Lorenzen im Mürztal;Waldweg
60217;Sankt Marein im Mürztal;Waldweg
60209;Kapfenberg;Walfersamgasse
60208;Halltal;Walstern
60209;Kapfenberg;Walther-v.-d.-Vogelweide-Straße
60207;Gußwerk;Wegscheid
60207;Gußwerk;Weichselboden
60213;Pernegg an der Mur;Weidenweg
60216;Sankt Lorenzen im Mürztal;Weinbergsiedlung
60212;Parschlug;Weinbergweg
60212;Parschlug;Weinkorbweg
60209;Kapfenberg;Werk Deuchendorf
60209;Kapfenberg;Werk-VI-Straße
60217;Sankt Marein im Mürztal;Werk-VI-Straße
60210;Mariazell;Wertheimweg
60210;Mariazell;Widerhoferweg
60216;Sankt Lorenzen im Mürztal;Wiedenbergweg
60210;Mariazell;Wiener Neustädter Straße
60204;Bruck an der Mur;Wiener Straße
60209;Kapfenberg;Wiener Straße
60210;Mariazell;Wiener Straße
60204;Bruck an der Mur;Wiesenweg
60209;Kapfenberg;Wiesenweg
60213;Pernegg an der Mur;Wiesenweg
60218;Sankt Sebastian;Wiesenweg
60216;Sankt Lorenzen im Mürztal;Winkelweg
60209;Kapfenberg;Winkler Siedlung
60209;Kapfenberg;Winkler Straße
60209;Kapfenberg;Winkler Weg
60211;Oberaich;Wogamoarweg
60204;Bruck an der Mur;Wüstenroter Straße
60209;Kapfenberg;Zapfstraße
60213;Pernegg an der Mur;Zatsch
60217;Sankt Marein im Mürztal;Zeppelinweg
60204;Bruck an der Mur;Ziegeleiweg
60204;Bruck an der Mur;Ziegelofenweg
60203;Breitenau am Hochlantsch;Zintonergraben
60213;Pernegg an der Mur;Zlatten
60202;Aflenz Land;Zöbriach
60209;Kapfenberg;Zöllgrabenweg
60211;Oberaich;Zum Madereck
60207;Gußwerk;Zur Waldpromenade
